country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Unemployment (% of labour force),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)"
Jordan,WesternAsia,89318,9702,109.3,102.6,37517,2.4,4940.1,13.4,7509,19207,4.9,83.7,3.6,75.5/72.2
Kazakhstan,CentralAsia,2724902,18204,6.7,93.9,181754,1.2,10312.1,5.6,36775,25175,1.6,53.2,2.7,73.9/64.3
Kenya,EasternAfrica,591958,49700,87.3,98.8,63399,5.6,1376.7,10.8,5688,14109,2.7,25.6,4.1,67.8/63.0
Kiribati,Micronesia,726,116,143.7,97.3,162,3.7,1442.9,4.5,3,116,1.8,44.3,3.8,68.9/62.4
Kuwait,WesternAsia,17818,4136,232.1,134.9,114054,1.8,29303.9,2.2,46238,30825,5.4,98.3,2,75.5/73.5
Kyrgyzstan,CentralAsia,199949,6045,31.5,98.4,6572,3.5,1106.4,7.7,1423,3844,1.6,35.7,3.1,74.3/66.4
Lao People's Democratic Republic,South-easternAsia,236800,6858,29.7,99.5,12585,7.6,1850.2,1.5,2066,4513,1.3,38.6,2.9,66.8/63.9
Latvia,NorthernEurope,64573,1950,31.3,84.9,27004,2.7,13704.1,9.6,11433,13596,-1.2,67.4,1.5,78.7/68.8
Lebanon,WesternAsia,10452,6082,594.6,100.6,50149,1.5,8571.4,7,3402,20409,6,87.8,1.7,80.9/77.3
Lesotho,SouthernAfrica,30355,2233,73.6,94.4,2008,2.8,940.6,27.5,648,1727,1.3,27.3,3.3,54.7/50.1
Liberia,WesternAfrica,111369,4732,49.1,101.8,2053,0.3,455.9,4.1,641,727,2.6,49.7,4.8,61.6/59.8
